match_date,team1,team2,winner,margin,ground,scorecard,team1_mahadasha_lord,team1_mahadasha_lord_dignity,team1_mahadasha_lord_score,team1_antardasha_lord,team1_antardasha_lord_dignity,team1_antardasha_lord_score,team1_agreement_classification,team1_moon_rashi,team1_moon_nakshatra,team2_mahadasha_lord,team2_mahadasha_lord_dignity,team2_mahadasha_lord_score,team2_antardasha_lord,team2_antardasha_lord_dignity,team2_antardasha_lord_score,team2_agreement_classification,team2_moon_rashi,team2_moon_nakshatra
2017-03-24,Afghanistan,Ireland,Afghanistan,7 wickets,Greater Noida,ODI # 3854,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,venus,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Mithuna,Ardra
2017-03-25,Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla,ODI # 3855,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha,ketu,N/A,0.5,venus,NEUTRAL,1.5,Strong,Kumbha,Purva Bhadrapada
2017-03-28,Sri Lanka,Bangladesh,no result,-,Dambulla,ODI # 3856,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha,ketu,N/A,0.5,venus,NEUTRAL,1.5,Strong,Kumbha,Purva Bhadrapada
2017-03-31,U.A.E.,P.N.G.,U.A.E.,82 runs,Abu Dhabi,ODI # 3857,jupiter,NEUTRAL,1.5,venus,NEUTRAL,1.5,Strong,Vrishabha,Krittika,jupiter,OWN_SIGN,1.5,saturn,NEUTRAL,-0.5,Strong,Makara,Uttara Ashadha
2017-04-01,Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC),ODI # 3858,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha,ketu,N/A,0.5,venus,NEUTRAL,1.5,Strong,Kumbha,Purva Bhadrapada
2017-04-02,U.A.E.,P.N.G.,P.N.G.,26 runs,Abu Dhabi,ODI # 3859,jupiter,NEUTRAL,1.5,venus,NEUTRAL,1.5,Strong,Vrishabha,Krittika,jupiter,OWN_SIGN,1.5,saturn,NEUTRAL,-0.5,Strong,Makara,Uttara Ashadha
2017-04-04,U.A.E.,P.N.G.,U.A.E.,103 runs,Abu Dhabi,ODI # 3860,jupiter,NEUTRAL,1.5,venus,NEUTRAL,1.5,Strong,Vrishabha,Krittika,jupiter,OWN_SIGN,1.5,saturn,NEUTRAL,-0.5,Strong,Makara,Uttara Ashadha
2017-05-05,England,Ireland,England,7 wickets,Bristol,ODI # 3864,rahu,N/A,0.5,jupiter,EXALTED,2.5,Strong,Mithuna,Punarvasu,venus,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Mithuna,Ardra
2017-05-07,England,Ireland,England,85 runs,Lord's,ODI # 3865,rahu,N/A,0.5,jupiter,EXALTED,2.5,Strong,Mithuna,Punarvasu,venus,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Mithuna,Ardra
2017-05-12,Ireland,Bangladesh,no result,-,Dublin (Malahide),ODI # 3866,venus,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Mithuna,Ardra,ketu,N/A,0.5,venus,NEUTRAL,1.5,Strong,Kumbha,Purva Bhadrapada
2017-05-14,Ireland,New Zealand,New Zealand,51 runs,Dublin (Malahide),ODI # 3867,venus,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Mithuna,Ardra,venus,DEBILITATED,-0.5,moon,NEUTRAL,-0.5,Contradictory,Mesha,Bharani
2017-05-17,Bangladesh,New Zealand,New Zealand,4 wickets,Dublin,ODI # 3868,ketu,N/A,0.5,venus,NEUTRAL,1.5,Strong,Kumbha,Purva Bhadrapada,venus,DEBILITATED,-0.5,moon,NEUTRAL,-0.5,Contradictory,Mesha,Bharani
2017-05-19,Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide),ODI # 3869,sun,NEUTRAL,0.5,sun,NEUTRAL,0.5,Contradictory,Mithuna,Ardra,ketu,N/A,0.5,venus,NEUTRAL,1.5,Strong,Kumbha,Purva Bhadrapada
2017-05-21,Ireland,New Zealand,New Zealand,190 runs,Dublin (Malahide),ODI # 3870,sun,NEUTRAL,0.5,sun,NEUTRAL,0.5,Contradictory,Mithuna,Ardra,venus,DEBILITATED,-0.5,moon,NEUTRAL,-0.5,Contradictory,Mesha,Bharani
2017-05-24,Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin,ODI # 3871,ketu,N/A,0.5,venus,NEUTRAL,1.5,Strong,Kumbha,Purva Bhadrapada,venus,DEBILITATED,-0.5,moon,NEUTRAL,-0.5,Contradictory,Mesha,Bharani
