match_date,team1,team2,winner,margin,ground,scorecard,team1_mahadasha_lord,team1_mahadasha_lord_dignity,team1_mahadasha_lord_score,team1_antardasha_lord,team1_antardasha_lord_dignity,team1_antardasha_lord_score,team1_agreement_classification,team1_moon_rashi,team1_moon_nakshatra,team2_mahadasha_lord,team2_mahadasha_lord_dignity,team2_mahadasha_lord_score,team2_antardasha_lord,team2_antardasha_lord_dignity,team2_antardasha_lord_score,team2_agreement_classification,team2_moon_rashi,team2_moon_nakshatra
2018-08-27,Ireland,Afghanistan,Afghanistan,29 runs,Belfast,ODI # 4032,sun,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mithuna,Ardra,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika
2018-08-29,Ireland,Afghanistan,Ireland,3 wickets,Belfast,ODI # 4033,sun,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mithuna,Ardra,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika
2018-08-30,Nepal,U.A.E.,U.A.E.,78 runs,Kuala Lumpur,ODI # 4034,moon,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Mesha,Krittika,jupiter,NEUTRAL,1.5,sun,NEUTRAL,0.5,Contradictory,Vrishabha,Krittika
2018-08-31,Ireland,Afghanistan,Afghanistan,8 wickets,Belfast,ODI # 4035,sun,NEUTRAL,0.5,rahu,N/A,-0.5,Tradition-specific,Mithuna,Ardra,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika
2018-09-15,Bangladesh,Sri Lanka,Bangladesh,137 runs,Dubai (DSC),ODI # 4036,ketu,N/A,0.5,mars,NEUTRAL,-0.5,Insufficient,Kumbha,Purva Bhadrapada,mars,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Vrischika,Anuradha
2018-09-17,Afghanistan,Sri Lanka,Afghanistan,91 runs,Abu Dhabi,ODI # 4038,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,mars,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Vrischika,Anuradha
2018-09-19,India,Pakistan,India,8 wickets,Dubai (DSC),ODI # 4040,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya,venus,NEUTRAL,0.5,jupiter,NEUTRAL,-0.5,Insufficient,Mithuna,Ardra
2018-09-20,Afghanistan,Bangladesh,Afghanistan,136 runs,Abu Dhabi,ODI # 4041,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,ketu,N/A,0.5,mars,NEUTRAL,-0.5,Insufficient,Kumbha,Purva Bhadrapada
2018-09-21,Bangladesh,India,India,7 wickets,Dubai (DSC),ODI # 4042,ketu,N/A,0.5,mars,NEUTRAL,-0.5,Insufficient,Kumbha,Purva Bhadrapada,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya
2018-09-21,Afghanistan,Pakistan,Pakistan,3 wickets,Abu Dhabi,ODI # 4043,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,venus,NEUTRAL,0.5,jupiter,NEUTRAL,-0.5,Insufficient,Mithuna,Ardra
2018-09-23,India,Pakistan,India,9 wickets,Dubai (DSC),ODI # 4044,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya,venus,NEUTRAL,0.5,jupiter,NEUTRAL,-0.5,Insufficient,Mithuna,Ardra
2018-09-23,Afghanistan,Bangladesh,Bangladesh,3 runs,Abu Dhabi,ODI # 4045,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,ketu,N/A,0.5,mars,NEUTRAL,-0.5,Insufficient,Kumbha,Purva Bhadrapada
2018-09-25,Afghanistan,India,tied,-,Dubai (DSC),ODI # 4046,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya
2018-09-26,Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi,ODI # 4047,ketu,N/A,0.5,mars,NEUTRAL,-0.5,Insufficient,Kumbha,Purva Bhadrapada,venus,NEUTRAL,0.5,jupiter,NEUTRAL,-0.5,Insufficient,Mithuna,Ardra
2018-09-28,Bangladesh,India,India,3 wickets,Dubai (DSC),ODI # 4048,ketu,N/A,0.5,mars,NEUTRAL,-0.5,Insufficient,Kumbha,Purva Bhadrapada,moon,OWN_SIGN,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Karka,Pushya
2018-09-30,South Africa,Zimbabwe,South Africa,5 wickets,Kimberley,ODI # 4049,moon,NEUTRAL,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Kumbha,Dhanishta,jupiter,NEUTRAL,-0.5,mercury,DEBILITATED,-1.5,Strong,Vrishabha,Rohini
2018-10-03,South Africa,Zimbabwe,South Africa,120 runs,Bloemfontein,ODI # 4050,moon,NEUTRAL,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Kumbha,Dhanishta,jupiter,NEUTRAL,-0.5,mercury,DEBILITATED,-1.5,Strong,Vrishabha,Rohini
2018-10-06,South Africa,Zimbabwe,South Africa,4 wickets,Paarl,ODI # 4051,moon,NEUTRAL,1.5,jupiter,NEUTRAL,-0.5,Insufficient,Kumbha,Dhanishta,jupiter,NEUTRAL,-0.5,mercury,DEBILITATED,-1.5,Strong,Vrishabha,Rohini
2018-10-10,Sri Lanka,England,no result,-,Dambulla,ODI # 4052,mars,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Vrischika,Anuradha,rahu,N/A,0.5,saturn,NEUTRAL,-1.5,Strong,Mithuna,Punarvasu
2018-10-13,Sri Lanka,England,England,31 runs,Dambulla,ODI # 4053,mars,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Vrischika,Anuradha,rahu,N/A,0.5,saturn,NEUTRAL,-1.5,Strong,Mithuna,Punarvasu
2018-10-17,Sri Lanka,England,England,7 wickets,Pallekele,ODI # 4054,mars,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Vrischika,Anuradha,rahu,N/A,0.5,saturn,NEUTRAL,-1.5,Strong,Mithuna,Punarvasu
2018-10-20,Sri Lanka,England,England,18 runs,Pallekele,ODI # 4055,mars,NEUTRAL,-0.5,saturn,NEUTRAL,0.5,Contradictory,Vrischika,Anuradha,rahu,N/A,0.5,saturn,NEUTRAL,-1.5,Strong,Mithuna,Punarvasu
