Date/Location                         Body         Local (deg)    Live (deg)  Diff (arcsec)
New Delhi 1910-04-10                  sun           356.972191    356.972191          0.001
New Delhi 1910-04-10                  moon            3.255026      3.255026          0.000
New Delhi 1910-04-10                  mercury         1.790245      1.790245         -0.000
New Delhi 1910-04-10                  venus         311.498335    311.498335          0.001
New Delhi 1910-04-10                  mars           54.058939     54.058940         -0.002
New Delhi 1910-04-10                  jupiter       165.770465    165.770502         -0.131
New Delhi 1910-04-10                  saturn          2.779653      2.779653          0.002
New Delhi 1910-04-10                  asc           109.519722    109.519722         -0.000

OVERALL MAX ABSOLUTE DIFFERENCE: 0.291 arcsec
Total dates compared: 14
